time,resistance
28.16812778,12.1270979
28.24106026,12.12688628
28.31287336,12.12685449
28.38474441,12.12651843
28.45842957,12.1263168
28.5311718,12.12610517
28.60491991,12.12590354
28.67695594,12.1257346
28.74880719,12.12555931
28.82081723,12.12544032
28.89351511,12.12541126
28.96546626,12.12537675
29.03796935,12.1251515
29.11342144,12.12502343
29.18599844,12.12494078
29.25834727,12.12485995
29.33070111,12.1247555
29.40251517,12.12465377
29.47453761,12.12462471
29.54659796,12.12450027
29.61976743,12.12441762
29.69190931,12.12440672
29.76473999,12.12444124
29.8374126,12.12441036
29.90950894,12.1244703
29.98162055,12.12440309
30.05401087,12.12435223
30.12615442,12.12415332
30.1982832,12.12404978
30.27097034,12.12397439
30.34306955,12.12381363
30.41565442,12.12383452
30.48774147,12.12380818
30.56090927,12.12372734
30.63371348,12.123612
30.70584059,12.12344578
30.77831864,12.12325505
30.85036922,12.12317785
30.92242336,12.1230734
30.99422979,12.12311881
31.06663179,12.1230852
31.14078212,12.12289265
31.21320462,12.12276913
31.28549433,12.12273916
31.3582356,12.12272099
31.43100572,12.12283906
31.50441599,12.12281545
31.57703424,12.12281363
31.64963889,12.12280909
31.72290182,12.12271282
31.795295,12.1226556
31.86720991,12.12261927
31.93990874,12.12261836
32.01193428,12.12261563
32.08378744,12.12261654
32.15655494,12.12264288
32.22867799,12.12259565
32.30086517,12.12258566
32.37275767,12.12271282
32.44501114,12.12270373
32.51887131,12.12268466
32.59091282,12.12278729
32.66435075,12.12271463
32.73849082,12.12271009
32.81156826,12.12275187
32.88383174,12.12271917
32.95708275,12.12262926
33.0299592,12.12261472
33.11210656,12.12259111
33.18697238,12.12264924
33.25947618,12.12275641
33.33249497,12.12287085
33.40437961,12.12285541
33.47678566,12.12283089
33.54938507,12.12274097
33.62190557,12.12267376
33.69444823,12.12275278
33.76710439,12.1227764
33.83897424,12.12278548
33.91128683,12.12281
33.98394918,12.12287267
34.05622387,12.12294715
34.12851787,12.12303525
34.20356941,12.1229853
34.27571821,12.12290628
34.34794235,12.12285814
34.42066407,12.12269465
34.49333429,12.12274733
34.56539512,12.12292353
34.63866878,12.1229753
34.71065998,12.12297349
34.78288126,12.12304615
34.85547185,12.1231724
34.92743397,12.12316513
35.00019026,12.12316331
35.07503939,12.12322598
35.15023565,12.12332771
35.22322249,12.12337766
35.30051994,12.12354024
35.37287903,12.12363107
35.44466805,12.1237991
35.51639462,12.12380727
35.58863568,12.12389901
35.66058183,12.12389083
35.73381901,12.12400073
35.80683899,12.12410881
35.87924862,12.12419147
35.95217967,12.12426685
36.02520132,12.12443306
36.10235,12.12456476
36.17629576,12.12458747
36.24990487,12.1245575
36.32218289,12.12471281
36.39440417,12.12467103
36.46665192,12.12485177
36.53884053,12.12498983
36.61232686,12.12515513
36.68503022,12.12518783
36.75981379,12.12535676
36.83289027,12.12540036
36.90543175,12.12550754
36.99005222,12.1256029
37.06179309,12.12577275
37.13618708,12.12579455
37.20871544,12.125899
37.28198719,12.12595168
37.353724,12.12598347
37.42619872,12.12611244
37.49881291,12.1262732
37.57071424,12.12643487
37.64299774,12.12663378
37.71634555,12.12679182
37.78913355,12.12689173
37.86327887,12.12716784
37.93518043,12.12749572
38.01003814,12.12776911
38.08177376,12.12789626
38.15447092,12.12809971
38.23443556,12.12821506
38.30999374,12.12837038
38.38192868,12.12858927
38.45400906,12.1288127
38.52621555,12.12897346
38.59794521,12.12914876
38.67062426,12.12941578
38.74267268,12.12954567
38.81461835,12.12963013
38.88693023,12.12987446
38.95883226,12.12998345
39.03084087,12.13012423
39.10301733,12.13032314
39.17606592,12.13046846
39.24809027,12.13064012
39.31978703,12.13088444
39.39120173,12.13104702
39.46263576,12.13123049
39.53433275,12.13135856
39.6065166,12.13162922
39.67836881,12.13189534
39.75006604,12.13209697
39.82215595,12.13228862
39.89418721,12.13252204
39.96795487,12.1326937
40.04032755,12.13285174
40.11359835,12.13313239
40.18622017,12.13339306
40.25828576,12.13373729
40.33149862,12.1342214
40.40371156,12.13454655
40.4760139,12.13470368
